,miRTarBase ID,miRNA,Target Gene,Target Gene (Entrez Gene ID)
51516,MIRT071481,hsa-miR-19b-3p,CALM1,801
51517,MIRT071490,hsa-miR-579-3p,CALM1,801
51518,MIRT071491,hsa-miR-595,CALM1,801
51519,MIRT071492,hsa-miR-548c-3p,CALM1,801
51520,MIRT071492,hsa-miR-548c-3p,CALM1,801
51521,MIRT071492,hsa-miR-548c-3p,CALM1,801
51522,MIRT071493,hsa-miR-648,CALM1,801
51523,MIRT071494,hsa-miR-664a-3p,CALM1,801
51524,MIRT071497,hsa-miR-4760-3p,CALM1,801
51525,MIRT071499,hsa-miR-664b-3p,CALM1,801
51526,MIRT071500,hsa-miR-548aw,CALM1,801
51527,MIRT071501,hsa-let-7c-3p,CALM1,801
51528,MIRT071501,hsa-let-7c-3p,CALM1,801
51529,MIRT071501,hsa-let-7c-3p,CALM1,801
51530,MIRT071502,hsa-miR-340-5p,CALM1,801
51531,MIRT071503,hsa-miR-3123,CALM1,801
51532,MIRT071503,hsa-miR-3123,CALM1,801
51533,MIRT071503,hsa-miR-3123,CALM1,801
51534,MIRT071504,hsa-miR-4311,CALM1,801
51535,MIRT071504,hsa-miR-4311,CALM1,801
51536,MIRT071504,hsa-miR-4311,CALM1,801
51537,MIRT071507,hsa-miR-4729,CALM1,801
51538,MIRT071507,hsa-miR-4729,CALM1,801
51539,MIRT071507,hsa-miR-4729,CALM1,801
51540,MIRT071515,hsa-miR-539-5p,CALM1,801
51737,MIRT072052,hsa-miR-4789-5p,LRP8,7804
51915,MIRT072822,hsa-miR-15a-5p,ARIH1,25820
51916,MIRT072822,hsa-miR-15a-5p,ARIH1,25820
51917,MIRT072822,hsa-miR-15a-5p,ARIH1,25820
51918,MIRT072823,hsa-miR-16-5p,ARIH1,25820
51919,MIRT072823,hsa-miR-16-5p,ARIH1,25820
51920,MIRT072823,hsa-miR-16-5p,ARIH1,25820
51921,MIRT072824,hsa-miR-15b-5p,ARIH1,25820
51922,MIRT072824,hsa-miR-15b-5p,ARIH1,25820
51923,MIRT072824,hsa-miR-15b-5p,ARIH1,25820
51924,MIRT072825,hsa-miR-195-5p,ARIH1,25820
51925,MIRT072825,hsa-miR-195-5p,ARIH1,25820
51926,MIRT072825,hsa-miR-195-5p,ARIH1,25820
51927,MIRT072826,hsa-miR-424-5p,ARIH1,25820
51928,MIRT072826,hsa-miR-424-5p,ARIH1,25820
51929,MIRT072827,hsa-miR-497-5p,ARIH1,25820
51930,MIRT072827,hsa-miR-497-5p,ARIH1,25820
51931,MIRT072828,hsa-miR-545-3p,ARIH1,25820
51932,MIRT072834,hsa-miR-548e-5p,ARIH1,25820
51933,MIRT072834,hsa-miR-548e-5p,ARIH1,25820
51934,MIRT072834,hsa-miR-548e-5p,ARIH1,25820
51935,MIRT072839,hsa-miR-548t-3p,ARIH1,25820
51936,MIRT072839,hsa-miR-548t-3p,ARIH1,25820
51937,MIRT072839,hsa-miR-548t-3p,ARIH1,25820
51938,MIRT072844,hsa-miR-548aa,ARIH1,25820
51939,MIRT072844,hsa-miR-548aa,ARIH1,25820
51940,MIRT072844,hsa-miR-548aa,ARIH1,25820
51941,MIRT072851,hsa-miR-4668-5p,ARIH1,25820
51942,MIRT072851,hsa-miR-4668-5p,ARIH1,25820
51943,MIRT072851,hsa-miR-4668-5p,ARIH1,25820
51944,MIRT072854,hsa-miR-548ap-3p,ARIH1,25820
51945,MIRT072854,hsa-miR-548ap-3p,ARIH1,25820
51946,MIRT072854,hsa-miR-548ap-3p,ARIH1,25820
51947,MIRT072858,hsa-miR-5584-5p,ARIH1,25820
51948,MIRT072858,hsa-miR-5584-5p,ARIH1,25820
51949,MIRT072858,hsa-miR-5584-5p,ARIH1,25820
51950,MIRT072861,hsa-miR-6838-5p,ARIH1,25820
51951,MIRT072861,hsa-miR-6838-5p,ARIH1,25820
51952,MIRT072862,hsa-miR-6892-5p,ARIH1,25820
51953,MIRT072862,hsa-miR-6892-5p,ARIH1,25820
51954,MIRT072862,hsa-miR-6892-5p,ARIH1,25820
51955,MIRT072864,hsa-miR-103a-3p,ARIH1,25820
51956,MIRT072864,hsa-miR-103a-3p,ARIH1,25820
51957,MIRT072865,hsa-miR-107,ARIH1,25820
51958,MIRT072865,hsa-miR-107,ARIH1,25820
51959,MIRT072867,hsa-miR-140-5p,ARIH1,25820
51960,MIRT072867,hsa-miR-140-5p,ARIH1,25820
51961,MIRT072869,hsa-miR-1273c,ARIH1,25820
51962,MIRT072869,hsa-miR-1273c,ARIH1,25820
51963,MIRT072870,hsa-miR-4310,ARIH1,25820
51964,MIRT072870,hsa-miR-4310,ARIH1,25820
51965,MIRT072871,hsa-miR-4477b,ARIH1,25820
51966,MIRT072871,hsa-miR-4477b,ARIH1,25820
51967,MIRT072873,hsa-miR-4729,ARIH1,25820
51968,MIRT072873,hsa-miR-4729,ARIH1,25820
51969,MIRT072876,hsa-miR-6828-5p,ARIH1,25820
51970,MIRT072876,hsa-miR-6828-5p,ARIH1,25820
51971,MIRT072877,hsa-miR-7157-5p,ARIH1,25820
51972,MIRT072877,hsa-miR-7157-5p,ARIH1,25820
51973,MIRT072878,hsa-miR-7856-5p,ARIH1,25820
51974,MIRT072878,hsa-miR-7856-5p,ARIH1,25820
52036,MIRT073373,hsa-miR-17-5p,ABHD2,11057
52037,MIRT073374,hsa-miR-20a-5p,ABHD2,11057
52038,MIRT073375,hsa-miR-26a-5p,ABHD2,11057
52039,MIRT073376,hsa-miR-26b-5p,ABHD2,11057
52040,MIRT073377,hsa-miR-93-5p,ABHD2,11057
52041,MIRT073380,hsa-miR-106b-5p,ABHD2,11057
52042,MIRT073382,hsa-miR-20b-5p,ABHD2,11057
52043,MIRT073383,hsa-miR-498,ABHD2,11057
52044,MIRT073387,hsa-miR-519d-3p,ABHD2,11057
52051,MIRT073558,hsa-miR-129-5p,NR2F2,7026
52052,MIRT073561,hsa-miR-4709-5p,NR2F2,7026
52053,MIRT073563,hsa-let-7f-2-3p,NR2F2,7026
52054,MIRT073564,hsa-miR-144-3p,NR2F2,7026
52055,MIRT073564,hsa-miR-144-3p,NR2F2,7026
52056,MIRT073565,hsa-miR-409-3p,NR2F2,7026
52057,MIRT073565,hsa-miR-409-3p,NR2F2,7026
52058,MIRT073566,hsa-miR-1185-2-3p,NR2F2,7026
52059,MIRT073567,hsa-miR-1185-1-3p,NR2F2,7026
52060,MIRT073568,hsa-miR-4325,NR2F2,7026
52061,MIRT073568,hsa-miR-4325,NR2F2,7026
52062,MIRT073569,hsa-miR-5680,NR2F2,7026
52063,MIRT073569,hsa-miR-5680,NR2F2,7026
52064,MIRT073570,hsa-miR-7703,NR2F2,7026
52065,MIRT073570,hsa-miR-7703,NR2F2,7026
52187,MIRT074035,hsa-miR-190a-3p,NFIA,4774
52188,MIRT074036,hsa-miR-3924,NFIA,4774
52189,MIRT074037,hsa-miR-4496,NFIA,4774
52190,MIRT074038,hsa-miR-5011-5p,NFIA,4774
52379,MIRT074888,hsa-miR-17-5p,CHD9,80205
52380,MIRT074889,hsa-miR-19a-3p,CHD9,80205
52381,MIRT074890,hsa-miR-19b-3p,CHD9,80205
52382,MIRT074891,hsa-miR-20a-5p,CHD9,80205
52383,MIRT074892,hsa-miR-93-5p,CHD9,80205
52384,MIRT074897,hsa-miR-106b-5p,CHD9,80205
52385,MIRT074900,hsa-miR-20b-5p,CHD9,80205
52386,MIRT074905,hsa-miR-519d-3p,CHD9,80205
52387,MIRT074937,hsa-miR-5003-3p,NUDT21,11051
52599,MIRT075399,hsa-miR-186-5p,ZFHX3,463
52600,MIRT075401,hsa-miR-3133,ZFHX3,463
52601,MIRT075408,hsa-miR-216a-3p,ZFHX3,463
52602,MIRT075408,hsa-miR-216a-3p,ZFHX3,463
52603,MIRT075410,hsa-miR-128-3p,ZFHX3,463
52604,MIRT075410,hsa-miR-128-3p,ZFHX3,463
52605,MIRT075416,hsa-miR-3681-3p,ZFHX3,463
52606,MIRT075416,hsa-miR-3681-3p,ZFHX3,463
53063,MIRT076413,hsa-miR-10a-5p,PAFAH1B1,5048
53064,MIRT076414,hsa-miR-10b-5p,PAFAH1B1,5048
53065,MIRT076417,hsa-miR-339-5p,PAFAH1B1,5048
53066,MIRT076419,hsa-miR-548a-3p,PAFAH1B1,5048
53067,MIRT076420,hsa-miR-616-3p,PAFAH1B1,5048
53068,MIRT076421,hsa-miR-548e-3p,PAFAH1B1,5048
53069,MIRT076422,hsa-miR-548f-3p,PAFAH1B1,5048
53070,MIRT076423,hsa-miR-1250-3p,PAFAH1B1,5048
53071,MIRT076424,hsa-miR-548ar-3p,PAFAH1B1,5048
53072,MIRT076426,hsa-miR-5582-3p,PAFAH1B1,5048
53073,MIRT076428,hsa-miR-548az-3p,PAFAH1B1,5048
53074,MIRT076429,hsa-miR-6732-3p,PAFAH1B1,5048
53075,MIRT076430,hsa-miR-6771-3p,PAFAH1B1,5048
53076,MIRT076473,hsa-miR-105-5p,PAFAH1B1,5048
53077,MIRT076487,hsa-miR-7853-5p,PAFAH1B1,5048
53430,MIRT078186,hsa-miR-335-3p,SRSF1,6426
53459,MIRT078390,hsa-miR-193a-3p,DCAF7,10238
53460,MIRT078390,hsa-miR-193a-3p,DCAF7,10238
53461,MIRT078390,hsa-miR-193a-3p,DCAF7,10238
53462,MIRT078392,hsa-miR-494-3p,DCAF7,10238
53463,MIRT078392,hsa-miR-494-3p,DCAF7,10238
53464,MIRT078393,hsa-miR-588,DCAF7,10238
53465,MIRT078393,hsa-miR-588,DCAF7,10238
53466,MIRT078394,hsa-miR-641,DCAF7,10238
53467,MIRT078394,hsa-miR-641,DCAF7,10238
53468,MIRT078395,hsa-miR-875-3p,DCAF7,10238
53469,MIRT078395,hsa-miR-875-3p,DCAF7,10238
53470,MIRT078396,hsa-miR-3190-5p,DCAF7,10238
53471,MIRT078396,hsa-miR-3190-5p,DCAF7,10238
53472,MIRT078397,hsa-miR-4252,DCAF7,10238
53473,MIRT078397,hsa-miR-4252,DCAF7,10238
53474,MIRT078398,hsa-miR-4261,DCAF7,10238
53475,MIRT078398,hsa-miR-4261,DCAF7,10238
53476,MIRT078399,hsa-miR-3617-5p,DCAF7,10238
53477,MIRT078399,hsa-miR-3617-5p,DCAF7,10238
53478,MIRT078401,hsa-miR-4701-5p,DCAF7,10238
53479,MIRT078401,hsa-miR-4701-5p,DCAF7,10238
53480,MIRT078402,hsa-miR-216a-3p,DCAF7,10238
53481,MIRT078402,hsa-miR-216a-3p,DCAF7,10238
53482,MIRT078402,hsa-miR-216a-3p,DCAF7,10238
53483,MIRT078403,hsa-miR-128-3p,DCAF7,10238
53484,MIRT078403,hsa-miR-128-3p,DCAF7,10238
53485,MIRT078403,hsa-miR-128-3p,DCAF7,10238
53486,MIRT078405,hsa-miR-590-3p,DCAF7,10238
53487,MIRT078405,hsa-miR-590-3p,DCAF7,10238
53488,MIRT078408,hsa-miR-4282,DCAF7,10238
53489,MIRT078408,hsa-miR-4282,DCAF7,10238
53490,MIRT078410,hsa-miR-3681-3p,DCAF7,10238
53491,MIRT078410,hsa-miR-3681-3p,DCAF7,10238
53492,MIRT078410,hsa-miR-3681-3p,DCAF7,10238
53572,MIRT079065,hsa-miR-4716-5p,BIRC5,332
53573,MIRT079067,hsa-miR-26a-1-3p,BIRC5,332
53574,MIRT079068,hsa-miR-26a-2-3p,BIRC5,332
53575,MIRT079069,hsa-miR-2113,BIRC5,332
53576,MIRT079069,hsa-miR-2113,BIRC5,332
53577,MIRT079069,hsa-miR-2113,BIRC5,332
53578,MIRT079071,hsa-miR-4703-3p,BIRC5,332
53579,MIRT079071,hsa-miR-4703-3p,BIRC5,332
53580,MIRT079071,hsa-miR-4703-3p,BIRC5,332
53581,MIRT079072,hsa-miR-4778-5p,BIRC5,332
53582,MIRT079077,hsa-miR-485-5p,BIRC5,332
53583,MIRT079077,hsa-miR-485-5p,BIRC5,332
53584,MIRT079077,hsa-miR-485-5p,BIRC5,332
53585,MIRT079079,hsa-miR-504-3p,BIRC5,332
53586,MIRT079079,hsa-miR-504-3p,BIRC5,332
53587,MIRT079079,hsa-miR-504-3p,BIRC5,332
53588,MIRT079080,hsa-miR-646,BIRC5,332
53589,MIRT079080,hsa-miR-646,BIRC5,332
53590,MIRT079080,hsa-miR-646,BIRC5,332
53591,MIRT079081,hsa-miR-3613-3p,BIRC5,332
53592,MIRT079081,hsa-miR-3613-3p,BIRC5,332
53593,MIRT079082,hsa-miR-3652,BIRC5,332
53594,MIRT079082,hsa-miR-3652,BIRC5,332
53595,MIRT079082,hsa-miR-3652,BIRC5,332
53596,MIRT079083,hsa-miR-4430,BIRC5,332
53597,MIRT079083,hsa-miR-4430,BIRC5,332
53598,MIRT079083,hsa-miR-4430,BIRC5,332
53599,MIRT079084,hsa-miR-3135b,BIRC5,332
53600,MIRT079084,hsa-miR-3135b,BIRC5,332
53601,MIRT079084,hsa-miR-3135b,BIRC5,332
53602,MIRT079086,hsa-miR-6792-5p,BIRC5,332
53603,MIRT079086,hsa-miR-6792-5p,BIRC5,332
53604,MIRT079086,hsa-miR-6792-5p,BIRC5,332
53605,MIRT079088,hsa-miR-6884-5p,BIRC5,332
53606,MIRT079088,hsa-miR-6884-5p,BIRC5,332
53607,MIRT079088,hsa-miR-6884-5p,BIRC5,332
53914,MIRT080176,hsa-miR-17-5p,PRKACB,5567
53915,MIRT080177,hsa-miR-19a-3p,PRKACB,5567
53916,MIRT080178,hsa-miR-20a-5p,PRKACB,5567
53917,MIRT080179,hsa-miR-106a-5p,PRKACB,5567
53918,MIRT080180,hsa-miR-203a-3p,PRKACB,5567
53919,MIRT080181,hsa-miR-106b-5p,PRKACB,5567
53920,MIRT080182,hsa-miR-302a-3p,PRKACB,5567
53921,MIRT080183,hsa-miR-302b-3p,PRKACB,5567
53922,MIRT080184,hsa-miR-302c-3p,PRKACB,5567
53923,MIRT080185,hsa-miR-302d-3p,PRKACB,5567
53924,MIRT080186,hsa-miR-372-3p,PRKACB,5567
53925,MIRT080187,hsa-miR-373-3p,PRKACB,5567
53926,MIRT080188,hsa-miR-20b-5p,PRKACB,5567
53927,MIRT080190,hsa-miR-520e,PRKACB,5567
53928,MIRT080191,hsa-miR-520f-3p,PRKACB,5567
53929,MIRT080193,hsa-miR-520a-3p,PRKACB,5567
53930,MIRT080194,hsa-miR-526b-3p,PRKACB,5567
53931,MIRT080196,hsa-miR-520b,PRKACB,5567
53932,MIRT080197,hsa-miR-520c-3p,PRKACB,5567
53933,MIRT080198,hsa-miR-519d-3p,PRKACB,5567
53934,MIRT080199,hsa-miR-520d-3p,PRKACB,5567
53935,MIRT080201,hsa-miR-513a-3p,PRKACB,5567
53936,MIRT080203,hsa-miR-636,PRKACB,5567
53937,MIRT080204,hsa-miR-548f-5p,PRKACB,5567
53938,MIRT080205,hsa-miR-548g-5p,PRKACB,5567
53939,MIRT080206,hsa-miR-302e,PRKACB,5567
53940,MIRT080207,hsa-miR-513c-3p,PRKACB,5567
53941,MIRT080209,hsa-miR-548x-5p,PRKACB,5567
53942,MIRT080210,hsa-miR-3606-3p,PRKACB,5567
53943,MIRT080211,hsa-miR-3622a-3p,PRKACB,5567
53944,MIRT080212,hsa-miR-3622b-3p,PRKACB,5567
53945,MIRT080213,hsa-miR-1273e,PRKACB,5567
53946,MIRT080214,hsa-miR-3660,PRKACB,5567
53947,MIRT080215,hsa-miR-548aj-5p,PRKACB,5567
53948,MIRT080216,hsa-miR-4526,PRKACB,5567
53949,MIRT080217,hsa-miR-548aw,PRKACB,5567
54024,MIRT080460,hsa-miR-3148,LMAN1,3998
54025,MIRT080491,hsa-miR-3607-3p,BCL10,8915
54499,MIRT081648,hsa-miR-383-3p,CCNE1,898
54500,MIRT081648,hsa-miR-383-3p,CCNE1,898
54501,MIRT081649,hsa-miR-497-5p,CCNE1,898
54502,MIRT081649,hsa-miR-497-5p,CCNE1,898
54503,MIRT081649,hsa-miR-497-5p,CCNE1,898
54504,MIRT081649,hsa-miR-497-5p,CCNE1,898
54505,MIRT081651,hsa-miR-4524a-5p,CCNE1,898
54506,MIRT081651,hsa-miR-4524a-5p,CCNE1,898
54507,MIRT081652,hsa-miR-4694-3p,CCNE1,898
54508,MIRT081652,hsa-miR-4694-3p,CCNE1,898
54509,MIRT081653,hsa-miR-4524b-5p,CCNE1,898
54510,MIRT081653,hsa-miR-4524b-5p,CCNE1,898
54511,MIRT081654,hsa-miR-6838-5p,CCNE1,898
54512,MIRT081654,hsa-miR-6838-5p,CCNE1,898
54813,MIRT082458,hsa-miR-4272,PVR,5817
54814,MIRT082458,hsa-miR-4272,PVR,5817
55332,MIRT083622,hsa-miR-548c-3p,NCOA3,8202
55445,MIRT084343,hsa-miR-17-5p,RRM2,6241
55446,MIRT084343,hsa-miR-17-5p,RRM2,6241
55447,MIRT084344,hsa-miR-20a-5p,RRM2,6241
55448,MIRT084344,hsa-miR-20a-5p,RRM2,6241
55449,MIRT084345,hsa-miR-93-5p,RRM2,6241
55450,MIRT084345,hsa-miR-93-5p,RRM2,6241
55451,MIRT084346,hsa-miR-106a-5p,RRM2,6241
55452,MIRT084347,hsa-miR-106b-5p,RRM2,6241
55453,MIRT084347,hsa-miR-106b-5p,RRM2,6241
55454,MIRT084349,hsa-miR-20b-5p,RRM2,6241
55455,MIRT084349,hsa-miR-20b-5p,RRM2,6241
55456,MIRT084350,hsa-miR-526b-3p,RRM2,6241
55457,MIRT084351,hsa-miR-519d-3p,RRM2,6241
55458,MIRT084351,hsa-miR-519d-3p,RRM2,6241
55459,MIRT084352,hsa-miR-4755-3p,RRM2,6241
55460,MIRT084353,hsa-miR-5006-5p,RRM2,6241
55461,MIRT084354,hsa-miR-6083,RRM2,6241
55462,MIRT084370,hsa-miR-4672,RRM2,6241
55859,MIRT085465,hsa-miR-4501,BRWD1,54014
55867,MIRT085755,hsa-miR-4524a-5p,RIF1,55183
55868,MIRT085756,hsa-miR-4524b-5p,RIF1,55183
55869,MIRT085757,hsa-miR-5580-3p,RIF1,55183
55870,MIRT085758,hsa-miR-6507-5p,RIF1,55183
55923,MIRT086201,hsa-miR-329-5p,HOXD13,3239
55924,MIRT086201,hsa-miR-329-5p,HOXD13,3239
55925,MIRT086202,hsa-miR-488-5p,HOXD13,3239
55926,MIRT086202,hsa-miR-488-5p,HOXD13,3239
55927,MIRT086204,hsa-miR-298,HOXD13,3239
55928,MIRT086204,hsa-miR-298,HOXD13,3239
55929,MIRT086205,hsa-miR-922,HOXD13,3239
55930,MIRT086205,hsa-miR-922,HOXD13,3239
55931,MIRT086207,hsa-miR-4271,HOXD13,3239
55932,MIRT086209,hsa-miR-4725-3p,HOXD13,3239
55933,MIRT086211,hsa-miR-6077,HOXD13,3239
55934,MIRT086212,hsa-miR-6783-5p,HOXD13,3239
55935,MIRT086213,hsa-miR-6780b-5p,HOXD13,3239
56125,MIRT086927,hsa-miR-6834-5p,CREB1,1385
56126,MIRT086929,hsa-miR-433-3p,CREB1,1385
56172,MIRT087387,hsa-miR-18a-5p,AGFG1,3267
56173,MIRT087387,hsa-miR-18a-5p,AGFG1,3267
56174,MIRT087387,hsa-miR-18a-5p,AGFG1,3267
56175,MIRT087390,hsa-miR-18b-5p,AGFG1,3267
56176,MIRT087390,hsa-miR-18b-5p,AGFG1,3267
56177,MIRT087390,hsa-miR-18b-5p,AGFG1,3267
56178,MIRT087391,hsa-miR-576-3p,AGFG1,3267
56179,MIRT087391,hsa-miR-576-3p,AGFG1,3267
56180,MIRT087391,hsa-miR-576-3p,AGFG1,3267
56181,MIRT087393,hsa-miR-1468-3p,AGFG1,3267
56182,MIRT087393,hsa-miR-1468-3p,AGFG1,3267
56183,MIRT087394,hsa-miR-548f-5p,AGFG1,3267
56184,MIRT087394,hsa-miR-548f-5p,AGFG1,3267
56185,MIRT087395,hsa-miR-548g-5p,AGFG1,3267
56186,MIRT087395,hsa-miR-548g-5p,AGFG1,3267
56187,MIRT087396,hsa-miR-3121-3p,AGFG1,3267
56188,MIRT087396,hsa-miR-3121-3p,AGFG1,3267
56189,MIRT087397,hsa-miR-548x-5p,AGFG1,3267
56190,MIRT087397,hsa-miR-548x-5p,AGFG1,3267
56191,MIRT087398,hsa-miR-548aj-5p,AGFG1,3267
56192,MIRT087398,hsa-miR-548aj-5p,AGFG1,3267
56193,MIRT087400,hsa-miR-4735-3p,AGFG1,3267
56194,MIRT087400,hsa-miR-4735-3p,AGFG1,3267
56195,MIRT087400,hsa-miR-4735-3p,AGFG1,3267
56196,MIRT087401,hsa-miR-548aw,AGFG1,3267
56197,MIRT087401,hsa-miR-548aw,AGFG1,3267
56198,MIRT087402,hsa-miR-7845-5p,AGFG1,3267
56199,MIRT087402,hsa-miR-7845-5p,AGFG1,3267
56200,MIRT087402,hsa-miR-7845-5p,AGFG1,3267
56209,MIRT087451,hsa-miR-25-3p,NF2,4771
56210,MIRT087452,hsa-miR-32-5p,NF2,4771
56211,MIRT087453,hsa-miR-92a-3p,NF2,4771
56212,MIRT087454,hsa-miR-363-3p,NF2,4771
56213,MIRT087455,hsa-miR-367-3p,NF2,4771
56214,MIRT087456,hsa-miR-92b-3p,NF2,4771
56480,MIRT088206,hsa-miR-107,NUP50,10762
56481,MIRT088207,hsa-miR-203a-3p,NUP50,10762
56482,MIRT088209,hsa-miR-3163,NUP50,10762
56483,MIRT088210,hsa-miR-3662,NUP50,10762
56484,MIRT088212,hsa-miR-5011-5p,NUP50,10762
56485,MIRT088213,hsa-miR-6508-5p,NUP50,10762
56486,MIRT088214,hsa-miR-8066,NUP50,10762
56487,MIRT088215,hsa-miR-8067,NUP50,10762
56870,MIRT089206,hsa-miR-15a-5p,ACTR2,10097
56871,MIRT089206,hsa-miR-15a-5p,ACTR2,10097
56872,MIRT089207,hsa-miR-16-5p,ACTR2,10097
56873,MIRT089207,hsa-miR-16-5p,ACTR2,10097
56874,MIRT089208,hsa-miR-103a-3p,ACTR2,10097
56875,MIRT089209,hsa-miR-107,ACTR2,10097
56876,MIRT089210,hsa-miR-15b-5p,ACTR2,10097
56877,MIRT089210,hsa-miR-15b-5p,ACTR2,10097
56878,MIRT089211,hsa-miR-195-5p,ACTR2,10097
56879,MIRT089211,hsa-miR-195-5p,ACTR2,10097
56880,MIRT089212,hsa-miR-424-5p,ACTR2,10097
56881,MIRT089213,hsa-miR-497-5p,ACTR2,10097
56882,MIRT089214,hsa-miR-545-5p,ACTR2,10097
56883,MIRT089214,hsa-miR-545-5p,ACTR2,10097
56884,MIRT089214,hsa-miR-545-5p,ACTR2,10097
56885,MIRT089214,hsa-miR-545-5p,ACTR2,10097
56886,MIRT089215,hsa-miR-671-5p,ACTR2,10097
56887,MIRT089215,hsa-miR-671-5p,ACTR2,10097
56888,MIRT089215,hsa-miR-671-5p,ACTR2,10097
56889,MIRT089215,hsa-miR-671-5p,ACTR2,10097
56890,MIRT089216,hsa-miR-2278,ACTR2,10097
56891,MIRT089216,hsa-miR-2278,ACTR2,10097
56892,MIRT089216,hsa-miR-2278,ACTR2,10097
56893,MIRT089216,hsa-miR-2278,ACTR2,10097
56894,MIRT089217,hsa-miR-4310,ACTR2,10097
56895,MIRT089218,hsa-miR-3609,ACTR2,10097
56896,MIRT089218,hsa-miR-3609,ACTR2,10097
56897,MIRT089218,hsa-miR-3609,ACTR2,10097
56898,MIRT089218,hsa-miR-3609,ACTR2,10097
56899,MIRT089219,hsa-miR-548ah-5p,ACTR2,10097
56900,MIRT089219,hsa-miR-548ah-5p,ACTR2,10097
56901,MIRT089219,hsa-miR-548ah-5p,ACTR2,10097
56902,MIRT089219,hsa-miR-548ah-5p,ACTR2,10097
56903,MIRT089221,hsa-miR-4524a-5p,ACTR2,10097
56904,MIRT089223,hsa-miR-4524b-5p,ACTR2,10097
56905,MIRT089224,hsa-miR-6838-5p,ACTR2,10097
56906,MIRT089225,hsa-miR-7157-5p,ACTR2,10097
56933,MIRT089450,hsa-miR-26a-5p,TET3,200424
56934,MIRT089450,hsa-miR-26a-5p,TET3,200424
56935,MIRT089452,hsa-miR-410-5p,TET3,200424
56936,MIRT089453,hsa-miR-494-5p,TET3,200424
56937,MIRT089455,hsa-miR-584-5p,TET3,200424
56938,MIRT089456,hsa-miR-758-5p,TET3,200424
56939,MIRT089457,hsa-miR-1297,TET3,200424
56940,MIRT089458,hsa-miR-1306-5p,TET3,200424
56941,MIRT089459,hsa-miR-323b-5p,TET3,200424
56942,MIRT089460,hsa-miR-4465,TET3,200424
56943,MIRT089461,hsa-miR-5697,TET3,200424
56944,MIRT089462,hsa-miR-6074,TET3,200424
57131,MIRT090242,hsa-miR-27a-3p,ZNF148,7707
57132,MIRT090246,hsa-miR-27b-3p,ZNF148,7707
57133,MIRT090248,hsa-miR-513a-5p,ZNF148,7707
57134,MIRT090256,hsa-miR-216a-3p,ZNF148,7707
57135,MIRT090257,hsa-miR-128-3p,ZNF148,7707
57136,MIRT090260,hsa-miR-3681-3p,ZNF148,7707
57178,MIRT090446,hsa-miR-15a-5p,CDV3,55573
57179,MIRT090449,hsa-miR-15b-5p,CDV3,55573
57180,MIRT090450,hsa-miR-195-5p,CDV3,55573
57204,MIRT090527,hsa-miR-155-5p,ZBTB38,253461
57280,MIRT090772,hsa-miR-513a-3p,MBNL1,4154
57281,MIRT090773,hsa-miR-576-5p,MBNL1,4154
57282,MIRT090774,hsa-miR-590-3p,MBNL1,4154
57283,MIRT090776,hsa-miR-936,MBNL1,4154
57284,MIRT090777,hsa-miR-513c-3p,MBNL1,4154
57285,MIRT090779,hsa-miR-3606-3p,MBNL1,4154
57286,MIRT090780,hsa-miR-491-3p,MBNL1,4154
57287,MIRT090781,hsa-miR-590-5p,MBNL1,4154
57288,MIRT090782,hsa-miR-1301-3p,MBNL1,4154
57289,MIRT090784,hsa-miR-4660,MBNL1,4154
57290,MIRT090786,hsa-miR-5047,MBNL1,4154
57291,MIRT090790,hsa-miR-30b-5p,MBNL1,4154
57292,MIRT090791,hsa-miR-30e-5p,MBNL1,4154
57293,MIRT090800,hsa-let-7f-2-3p,MBNL1,4154
57294,MIRT090800,hsa-let-7f-2-3p,MBNL1,4154
57295,MIRT090801,hsa-miR-19a-3p,MBNL1,4154
57296,MIRT090801,hsa-miR-19a-3p,MBNL1,4154
57297,MIRT090801,hsa-miR-19a-3p,MBNL1,4154
57298,MIRT090802,hsa-miR-130a-3p,MBNL1,4154
57299,MIRT090802,hsa-miR-130a-3p,MBNL1,4154
57300,MIRT090803,hsa-miR-301a-3p,MBNL1,4154
57301,MIRT090803,hsa-miR-301a-3p,MBNL1,4154
57302,MIRT090805,hsa-miR-519c-3p,MBNL1,4154
57303,MIRT090805,hsa-miR-519c-3p,MBNL1,4154
57304,MIRT090806,hsa-miR-519b-3p,MBNL1,4154
57305,MIRT090806,hsa-miR-519b-3p,MBNL1,4154
57306,MIRT090807,hsa-miR-519a-3p,MBNL1,4154
57307,MIRT090807,hsa-miR-519a-3p,MBNL1,4154
57308,MIRT090809,hsa-miR-454-3p,MBNL1,4154
57309,MIRT090809,hsa-miR-454-3p,MBNL1,4154
57310,MIRT090810,hsa-miR-1185-2-3p,MBNL1,4154
57311,MIRT090810,hsa-miR-1185-2-3p,MBNL1,4154
57312,MIRT090811,hsa-miR-1185-1-3p,MBNL1,4154
57313,MIRT090811,hsa-miR-1185-1-3p,MBNL1,4154
57314,MIRT090812,hsa-miR-301b-3p,MBNL1,4154
57315,MIRT090812,hsa-miR-301b-3p,MBNL1,4154
57316,MIRT090813,hsa-miR-4295,MBNL1,4154
57317,MIRT090813,hsa-miR-4295,MBNL1,4154
57318,MIRT090814,hsa-miR-3666,MBNL1,4154
57319,MIRT090814,hsa-miR-3666,MBNL1,4154
57320,MIRT090817,hsa-miR-548aw,MBNL1,4154
