,gene_id,sample_1,sample_2,status,value_1,value_2,log2_fold_change,test_stat,p_value,q_value,significant
19707,RERGL,control,SRR926257,OK,4.515,1,-2.174725988,NA,0.00075,0.0326793,yes
7279,GJA5,control,SRR926257,OK,4.49956,1,-2.169783931,NA,5.00E-05,0.00349593,yes
5872,EVC2,control,SRR926257,OK,4.43233,1,-2.148065298,NA,5.00E-05,0.00349593,yes
19694,REM1,control,SRR926257,OK,4.40715,1,-2.139846,NA,2.00E-04,0.0115265,yes
7234,GGTA1P,control,SRR926257,OK,4.38065,1,-2.131144953,NA,4.00E-04,0.0200433,yes
9976,LCP2,control,SRR926257,OK,4.32301,1,-2.112036173,NA,5.00E-05,0.00349593,yes
20471,S100B,control,SRR926257,OK,4.25553,1,-2.089338822,NA,0.0011,0.0440953,yes
13464,MICU3,control,SRR926257,OK,4.18401,1,-2.0648863,NA,2.00E-04,0.0115265,yes
10215,LINC00341,control,SRR926257,OK,4.17281,1,-2.061019232,NA,5.00E-05,0.00349593,yes
2223,C1orf87,control,SRR926257,OK,4.17279,1,-2.061012317,NA,0.00025,0.013919,yes
19201,PTPRN2,control,SRR926257,OK,4.15705,1,-2.0555601,NA,5.00E-05,0.00349593,yes
25883,ZNF334,control,SRR926257,OK,4.14915,1,-2.052815814,NA,5.00E-05,0.00349593,yes
25178,VWC2,control,SRR926257,OK,4.13407,1,-2.047562817,NA,5.00E-05,0.00349593,yes
15462,MMRN1,control,SRR926257,OK,4.11505,1,-2.04090996,NA,5.00E-05,0.00349593,yes
19780,RGS16,control,SRR926257,OK,4.11042,1,-2.039285815,NA,5.00E-05,0.00349593,yes
20938,SFRP2,control,SRR926257,OK,4.10523,1,-2.037463053,NA,0.00015,0.00908003,yes
15898,MYH14,control,SRR926257,OK,4.09828,1,-2.035018555,NA,5.00E-05,0.00349593,yes
18334,PLP1,control,SRR926257,OK,4.09127,1,-2.03254875,NA,5.00E-05,0.00349593,yes
21550,SLCO1B3,control,SRR926257,OK,1,4.79441,2.261353288,NA,5.00E-05,0.00349593,yes
16411,NKX2-5,control,SRR926257,OK,1,4.81337,2.267047326,NA,5.00E-05,0.00349593,yes
22108,SNORD58C,control,SRR926257,OK,128.741,620.697,2.269417593,2.83309,1.30E-03,0.049474,yes
6984,GABRA3,control,SRR926257,OK,1,5.50565,2.460912899,NA,1.00E-04,0.00655964,yes
12724,LRRC37A5P,control,SRR926257,OK,1,5.60487,2.486680911,NA,3.50E-04,0.0182475,yes
4029,CPA6,control,SRR926257,OK,1,7.27843,2.863627286,NA,5.00E-05,0.00349593,yes
21203,SLC17A3,control,SRR926257,OK,1,8.97875,3.16651461,NA,5.00E-05,0.00349593,yes
12378,LOC389602,control,SRR926257,OK,1,9.79019,3.291336859,NA,5.00E-05,0.00349593,yes
20495,SAGE1,control,SRR926257,OK,1,10.4421,3.384339975,NA,5.00E-05,0.00349593,yes
22081,SNORD42A,control,SRR926257,OK,174.102,2068.27,3.570419852,8.75608,1.10E-03,0.0440953,yes
22115,SNORD63,control,SRR926257,OK,122.889,1593.87,3.697106276,0.0128783,1.05E-03,0.0425639,yes
